ProductCode,ProductCodeType,Description,SubCategoryCode,ProgramCode,CodeLength,GTINClass,CheckDigit,Company
36800328303,UPC,FC PAPRIKA,056,5D,11,GTIN-12-F,6,N/A,00368003283036
36800328372,UPC,FCIRCLE TURMERIC,056,5D,11,GTIN-12-F,2,N/A,00368003283722
36800333222,UPC,FOOD CLUB DICED TOMA,021,5D,11,GTIN-12-F,2,N/A,00368003332222
36800335295,UPC,SCH SLICED COLBY,097,5D,11,GTIN-12-F,4,N/A,00368003352954
36800336384,UPC,FC CAULIFLOWER FLORE,028,5D,11,GTIN-12-F,4,N/A,00368003363844
36800336513,UPC,FC COFFEE DECAF GREE,114,5D,11,GTIN-12-F,8,N/A,00368003365138
36800337602,UPC,FOOD CLUB WHOLE KERN,021,5D,11,GTIN-12-F,8,N/A,00368003376028
36800339408,UPC,FC METHYL B12 1000MC,411,5A,11,GTIN-12-F,4,N/A,00368003394084
36800340220,UPC,TC CALCIUM+D CRML CH,411,5A,11,GTIN-12-F,8,N/A,00368003402208
36800340237,UPC,TT INF FRMLA INFANT,068,5D,11,GTIN-12-F,6,N/A,00368003402376
36800340961,UPC,FD CLB MW BUTTER CRA,069,5D,11,GTIN-12-F,0,N/A,00368003409610
36800346796,UPC,FC SPANISH RICE & SA,063,5D,11,GTIN-12-F,2,N/A,00368003467962
36800350601,UPC,FC CORN OIL,083,5D,11,GTIN-12-F,2,N/A,00368003506012
36800352919,UPC,FC ASEPTIC BLK BEAN,061,5D,11,GTIN-12-F,6,N/A,00368003529196
36800359925,UPC,TT ORG GRN BN PR PEA,068,5D,11,GTIN-12-F,0,N/A,00368003599250
36800359956,UPC,TT ORG APL ZUC STRW,068,5D,11,GTIN-12-F,4,N/A,00368003599564
36800359963,UPC,TT ORG PR BLBRY SPN,068,5D,11,GTIN-12-F,2,N/A,00368003599632
36800360082,UPC,FC CINNAMON APPLESAU,050,5D,11,GTIN-12-F,6,N/A,00368003600826
36800360488,UPC,TC VTMN 1000MG ESS R,411,5A,11,GTIN-12-F,6,N/A,00368003604886
36800361102,UPC,TC SNSCRN SPT LTN SP,392,5A,11,GTIN-12-F,0,N/A,00368003611020
36800361850,UPC,FC GF RICE PSTA & CH,087,5D,11,GTIN-12-F,0,N/A,00368003618500
36800361881,UPC,FOOD CLUB WW ROTINI,066,5D,11,GTIN-12-F,4,N/A,00368003618814
36800363434,UPC,TT INF FRMLA ORGANIC,068,5D,11,GTIN-12-F,0,N/A,00368003634340
36800365018,UPC,FOOD CLUB NO SALT AD,021,5D,11,GTIN-12-F,0,N/A,00368003650180
36800367852,UPC,FULL C G/F THAI RED,060,5D,11,GTIN-12-F,8,N/A,00368003678528
36800372337,UPC,FC CARAMEL SS CAPPUC,114,5D,11,GTIN-12-F,2,N/A,00368003723372
36800372825,UPC,FC UNSW ALMND MILK V,095,5D,11,GTIN-12-F,4,N/A,00368003728254
36800373761,UPC,SCH DRSNG BTRMLK PRB,055,5D,11,GTIN-12-F,4,N/A,00368003737614
36800374430,UPC,CLEAR VALUE FRZ MIXE,028,5D,11,GTIN-12-F,8,N/A,00368003744308
36800376816,UPC,TC VITAMN CALCIUM &,411,5A,11,GTIN-12-F,8,N/A,00368003768168
36800377257,UPC,CHEESE - CHED,097,5D,11,GTIN-12-F,8,N/A,00368003772578
36800377301,UPC,STRING CHEESE 16OZ F,097,5D,11,GTIN-12-F,8,N/A,00368003773018
36800381513,UPC,"APPLE PRUNE 4OZ, TIP",068,5D,11,GTIN-12-F,8,N/A,00368003815138
36800381537,UPC,"APPLE APRICOT 4OZ, T",068,5D,11,GTIN-12-F,4,N/A,00368003815374
36800382718,UPC,TT INF FRMLA ADVANTA,068,5D,11,GTIN-12-F,6,N/A,00368003827186
36800384569,UPC,FULL CIRCLE ORGANIC,068,5D,11,GTIN-12-F,2,N/A,00368003845692
36800385511,UPC,CVS MEDICATED TRAVEL,078,5D,11,GTIN-12-F,0,CVS,00368003855110
36800386068,UPC,FC VTMN D3 5000IU TA,411,5A,11,GTIN-12-F,8,N/A,00368003860688
36800389120,UPC,TIPPY TOES YOGURT BI,068,5D,11,GTIN-12-F,0,N/A,00368003891200
36800389144,UPC,TIPPY TOES PUFFED BL,068,5D,11,GTIN-12-F,6,N/A,00368003891446
36800389618,UPC,FULL CIRCLE TEXAS BB,055,5D,11,GTIN-12-F,2,N/A,00368003896182
36800389663,UPC,FC RSTD GAR. SAUCE O,055,5D,11,GTIN-12-F,2,N/A,00368003896632
36800389830,UPC,BUCKLEY FARMS IFF CH,102,5D,11,GTIN-12-F,8,N/A,00368003898308
36800394575,UPC,FC LIGHT OLIVE OIL P,083,5D,11,GTIN-12-F,0,N/A,00368003945750
36800399310,UPC,TC VTMN FIBER GUMMIE,411,5A,11,GTIN-12-F,2,N/A,00368003993102
36800399761,UPC,PEDIA ELECTROLYTE MA,068,5D,11,GTIN-12-F,2,N/A,00368003997612
36800400856,UPC,TC VIT D 2000IU SFTG,411,5A,11,GTIN-12-F,0,N/A,00368004008560
36800401112,UPC,TC BIOTIN 5000MCG TA,411,5A,11,GTIN-12-F,6,N/A,00368004011126
36800401662,UPC,TC CINNAMON 500MG CA,411,5A,11,GTIN-12-F,6,N/A,00368004016626
36800403543,UPC,TIPPY TOES GRN BEAN,068,5D,11,GTIN-12-F,6,N/A,00368004035436
36800404298,UPC,INFANT VEGETABLES 4O,068,5D,11,GTIN-12-F,4,N/A,00368004042984
36800405448,UPC,CVS MEDICATED TRAVEL,079,5D,11,GTIN-12-F,2,CVS,00368004054482
36800411883,UPC,FULL C G/F PAD THAI,060,5D,11,GTIN-12-F,2,N/A,00368004118832
36800412293,UPC,FC RAISIN BRAN NB,086,5D,11,GTIN-12-F,8,N/A,00368004122938
36800415010,UPC,TROPICAL PINEAPPLE 4,068,5D,11,GTIN-12-F,8,N/A,00368004150108
36800419452,UPC,FC SANDWICH SPREAD,055,5D,11,GTIN-12-F,2,N/A,00368004194522
36800419469,UPC,SCH TARTAR SAUCE,055,5D,11,GTIN-12-F,0,N/A,00368004194690
36800419568,UPC,TIPTOEO PEAS-4OZ,068,5D,11,GTIN-12-F,0,N/A,00368004195680
36800419582,UPC,TIPTOEO APPLESAUC-4O,068,5D,11,GTIN-12-F,6,N/A,00368004195826
36800420786,UPC,AT EASE CHICKEN TERI,060,5D,11,GTIN-12-F,4,N/A,00368004207864
36800421813,UPC,FC GRND COFFEE MSTR,114,5D,11,GTIN-12-F,6,N/A,00368004218136
36800422391,UPC,FC ORG OATCUP APL CI,086,5D,11,GTIN-12-F,8,N/A,00368004223918
36800423404,UPC,FOOD CLUB NO SALT AD,021,5D,11,GTIN-12-F,4,N/A,00368004234044
36800423527,UPC,TC OMG3 1000MG FISH,411,5A,11,GTIN-12-F,0,N/A,00368004235270
36800423664,UPC,TC WOMAN MLTI ONE DA,411,5A,11,GTIN-12-F,2,N/A,00368004236642
36800423756,UPC,AT EASE 40CT PZA RLS,069,5D,11,GTIN-12-F,4,N/A,00368004237564
36800425897,UPC,TC AFTERSUN ALOE GEL,392,5A,11,GTIN-12-F,2,N/A,00368004258972
36800426177,UPC,CRAVN STFFD JLPNO CH,065,5D,11,GTIN-12-F,4,N/A,00368004261774
36800426306,UPC,ORG GREEK VANILLA NO,096,5D,11,GTIN-12-F,8,N/A,00368004263068
36800430679,UPC,TC VITAMIN C 1000MG,411,5A,11,GTIN-12-F,6,N/A,00368004306796
36800430709,UPC,TC VTMN MGNSM 400MG,411,5A,11,GTIN-12-F,0,N/A,00368004307090
36800436862,UPC,FC ORGN VODKA SCE,055,5D,11,GTIN-12-F,6,N/A,00368004368626
36800437616,UPC,FC ORG ALMN FLOUR BL,087,5D,11,GTIN-12-F,4,N/A,00368004376164
36800438958,UPC,CVS MEDICATED TRAVEL,078,5D,11,GTIN-12-F,4,CVS,00368004389584
36800438996,UPC,CVS MEDICATED TRAVEL,078,5D,11,GTIN-12-F,6,CVS,00368004389966
36800440241,UPC,FC TEXAS TOAST GARLI,077,5D,11,GTIN-12-F,2,N/A,00368004402412
36800440869,UPC,CAN BEANS 15.5,021,5D,11,GTIN-12-F,8,N/A,00368004408698
36800440920,UPC,FC STM EASY CUT GREE,028,5D,11,GTIN-12-F,6,N/A,00368004409206
36800441170,UPC,FC STM EASY BROC AND,028,5D,11,GTIN-12-F,4,N/A,00368004411704
36800441415,UPC,FC CREAMY PEANUT BUT,055,5D,11,GTIN-12-F,6,N/A,00368004414156
36800441941,UPC,FOOD CLUB CUT GREEN,021,5D,11,GTIN-12-F,0,N/A,00368004419410
36800443730,UPC,TC VTMN CLCM GRD RLS,411,5A,11,GTIN-12-F,8,N/A,00368004437308
36800443778,UPC,TC VTMN CLB ADV TR S,411,5A,11,GTIN-12-F,0,N/A,00368004437780
36800443853,UPC,TC ULTIMATE SR MENS,411,5A,11,GTIN-12-F,4,N/A,00368004438534
36800443938,UPC,TC VTMN VISN SHLD SF,411,5A,11,GTIN-12-F,8,N/A,00368004439388
36800443969,UPC,TC VITAMIN WOMEN MUL,411,5A,11,GTIN-12-F,2,N/A,00368004439692
36800444157,UPC,CANNED BEANS 15.5OZ,021,5D,11,GTIN-12-F,2,N/A,00368004441572
36800444232,UPC,CANNED BEANS 15.5OZ,021,5D,11,GTIN-12-F,6,N/A,00368004442326
36800444263,UPC,CANNED BEANS 15.5OZ,021,5D,11,GTIN-12-F,0,N/A,00368004442630
36800444621,UPC,TC VTMN CHRM PCLNT T,411,5A,11,GTIN-12-F,8,N/A,00368004446218
36800444850,UPC,CHEESE MONT JK 2LB,097,5D,11,GTIN-12-F,2,N/A,00368004448502
36800445109,UPC,FC CHILI SEASONING M,057,5D,11,GTIN-12-F,0,N/A,00368004451090
36800445406,UPC,FOOD CLUB WHOLE WATE,021,5D,11,GTIN-12-F,0,N/A,00368004454060
36800445673,UPC,FC CONUT MILK ORGNL,095,5D,11,GTIN-12-F,6,N/A,00368004456736
36800445802,UPC,FOOD CLUB PETITE YOU,021,5D,11,GTIN-12-F,0,N/A,00368004458020
36800446625,UPC,FC CANDIES SPEARMINT,069,5D,11,GTIN-12-F,4,N/A,00368004466254
36800447837,UPC,ORANGE JUICE 64OZ,109,5D,11,GTIN-12-F,0,N/A,00368004478370
36800448322,UPC,FC VEG BROCC AND CAU,028,5D,11,GTIN-12-F,0,N/A,00368004483220
36800448407,UPC,CVS MEDICATED TRAVEL,050,5D,11,GTIN-12-F,4,CVS,00368004484074
36800448742,UPC,FC ORG SHRED MILD CH,097,5D,11,GTIN-12-F,6,N/A,00368004487426
36800449213,UPC,CVS MEDICATED TRAVEL,057,5D,11,GTIN-12-F,0,CVS,00368004492130
36800449244,UPC,CVS MEDICATED TRAVEL,057,5D,11,GTIN-12-F,4,CVS,00368004492444
36800449503,UPC,FULL CIRCLE FRZ ORGA,028,5D,11,GTIN-12-F,2,N/A,00368004495032
36800449541,UPC,CVS MEDICATED TRAVEL,062,5D,11,GTIN-12-F,4,CVS,00368004495414
36800450219,UPC,FD CLB GK NF PLIN,096,5D,11,GTIN-12-F,8,N/A,00368004502198
36800450769,UPC,FC SPRING WATER 3/1,109,5D,11,GTIN-12-F,8,N/A,00368004507698
36800451810,UPC,FC GF CHICKP MCRNI P,066,5D,11,GTIN-12-F,6,N/A,00368004518106
36800454880,UPC,FD CLB LF BL KLPI,096,5D,11,GTIN-12-F,6,N/A,00368004548806
36800456204,UPC,TC SPRT CS SPF 30,392,5A,11,GTIN-12-F,8,N/A,00368004562048
36800456211,UPC,TC SPRT CS SPF 50,392,5A,11,GTIN-12-F,6,N/A,00368004562116
36800456303,UPC,TC SNSCRN SPT LTN SP,392,5A,11,GTIN-12-F,8,N/A,00368004563038
36800457492,UPC,FC LEMONADE 11% JUIC,109,5D,11,GTIN-12-F,8,N/A,00368004574928
36800459779,UPC,TC SPRT 3PK CS SPF50,392,5A,11,GTIN-12-F,8,N/A,00368004597798
36800459809,UPC,TT FRT ELECTRLT TWN,109,5D,11,GTIN-12-F,2,N/A,00368004598092
36800460003,UPC,CF ULTRA THIN PIZZA,077,5D,11,GTIN-12-F,0,N/A,00368004600030
36800463325,UPC,TC VITAMIN K-2 100MC,411,5A,11,GTIN-12-F,0,N/A,00368004633250
36800463387,UPC,TC CALCIUM CITRATE 3,411,5A,11,GTIN-12-F,8,N/A,00368004633878
36800463400,UPC,FC MAC&CHEESE CHEDDA,060,5D,11,GTIN-12-F,4,N/A,00368004634004
36800463943,UPC,TC VITAMIN C GUMMIES,411,5A,11,GTIN-12-F,6,N/A,00368004639436
36800463974,UPC,TC CHILD GUMMIE VITA,411,5A,11,GTIN-12-F,0,N/A,00368004639740
36800464025,UPC,TC CHLD MLT VTMN JLY,411,5A,11,GTIN-12-F,8,N/A,00368004640258
36800466678,UPC,FULL CIRCLE ORG CRUS,021,5D,11,GTIN-12-F,4,N/A,00368004666784
36800467026,UPC,CVS MEDICATED TRAVEL,064,5D,11,GTIN-12-F,2,CVS,00368004670262
36800467064,UPC,CRAVN GRN PICKL BREA,065,5D,11,GTIN-12-F,4,N/A,00368004670644
36800467088,UPC,CVS MEDICATED TRAVEL,064,5D,11,GTIN-12-F,0,CVS,00368004670880
36800467392,UPC,CRAVN SKLT CHKN 3 CH,060,5D,11,GTIN-12-F,8,N/A,00368004673928
36800467422,UPC,CRAVN SKLT CHKN GRLC,060,5D,11,GTIN-12-F,2,N/A,00368004674222
36800469358,UPC,TC D3 5000IU QK DSLV,411,5A,11,GTIN-12-F,2,N/A,00368004693582
36800469396,UPC,FOOD CLUB THICK CUT,097,5D,11,GTIN-12-F,4,N/A,00368004693964
36800469501,UPC,CRAVN LSGNA MEAT MLT,060,5D,11,GTIN-12-F,2,N/A,00368004695012
36800470897,UPC,FOOD CLUB LOWFAT CUL,095,5D,11,GTIN-12-F,2,N/A,00368004708972
36800471122,UPC,FC PEANUT BUTTER CRE,055,5D,11,GTIN-12-F,4,N/A,00368004711224
36800472921,UPC,CRAVN BWL MAC&CHSE C,060,5D,11,GTIN-12-F,2,N/A,00368004729212
